asset,transformation,n_obs,adf_statistic,p_value,used_lag,critical_value_1pct,critical_value_5pct,critical_value_10pct,reject_unit_root_5pct,status
gold,log_return,3664,-60.99466089036346,0.0,0,-3.432135995428144,-2.8623291535344446,-2.5671900782337533,True,ok
gold,price_level,3665,0.3427623218298864,0.9792235449251301,0,-3.4321355077750257,-2.8623289381264065,-2.5671899635577873,False,ok
nasdaq,log_return,3639,-13.621738041695574,1.7912441079388856e-25,25,-3.432148273922543,-2.862334577227287,-2.5671929656266452,True,ok
nasdaq,price_level,3638,1.4390384416373485,0.9972844680173905,27,-3.432148768574872,-2.862334795726108,-2.5671930819481976,False,ok
oil,log_return,3634,-11.239820384009803,1.8187932692257923e-20,30,-3.432150749908472,-2.8623356709244043,-2.5671935478749135,True,ok
oil,price_level,3639,-0.2766693870708596,0.9287442646144294,26,-3.432148273922543,-2.862334577227287,-2.5671929656266452,False,ok
palladium,log_return,3637,-11.635260713639877,2.2127205829521707e-21,27,-3.432149263499404,-2.8623350143451307,-2.5671931983337477,True,ok
palladium,price_level,3637,-1.5806521461567105,0.4933048626086254,28,-3.432149263499404,-2.8623350143451307,-2.5671931983337477,False,ok
platinum,log_return,3643,-14.384673527880178,9.031381623251386e-27,21,-3.4321462980307786,-2.862333704432044,-2.567192500979358,True,ok
platinum,price_level,3635,-1.936184712975908,0.31523474223940734,30,-3.432150254165979,-2.8623354519441797,-2.567193431297053,False,ok
silver,log_return,3664,-59.9782743938365,0.0,0,-3.432135995428144,-2.8623291535344446,-2.5671900782337533,True,ok
silver,price_level,3650,-1.84688386020815,0.3574458940283616,15,-3.4321428506483365,-2.8623321816453267,-2.5671916902983676,False,ok
sp500,log_return,3638,-13.130285707724338,1.4996263884209537e-24,26,-3.432148768574872,-2.862334795726108,-2.5671930819481976,True,ok
sp500,price_level,3638,1.1997284672447328,0.9959840065872242,27,-3.432148768574872,-2.862334795726108,-2.5671930819481976,False,ok
