model,fold_id,order,seasonal_order,rmse,mae,directional_accuracy,mean_forecast_error,best_epoch,train_windows,validation_windows,history_tail
phase3_sarimax,1,"[0, 0, 0]","[0, 0, 0, 0]",0.02061095406849766,0.012567992803255327,0.6150793650793651,-0.00010881070949495727,,,,
phase5_patchtst,1,,,0.02070443332195282,0.012570428662002087,0.5833333333333334,0.00033788365544751287,4.0,1940.0,252.0,"[{'epoch': 6, 'train_loss': 0.9176261396177353, 'validation_loss': 1.4624683111906052, 'train_rmse': 0.9579280451149425, 'validation_rmse': 1.209325560463602}, {'epoch': 7, 'train_loss': 0.9287097953980968, 'validation_loss': 1.4677782356739044, 'train_rmse': 0.9636959040060805, 'validation_rmse': 1.2115189786684748}, {'epoch': 8, 'train_loss': 0.8968768139039317, 'validation_loss': 1.4630414843559265, 'train_rmse': 0.9470358039186965, 'validation_rmse': 1.2095625177542195}]"
phase3_sarimax,2,"[0, 0, 0]","[0, 0, 0, 0]",0.01461663159159435,0.011048708455866906,0.5634920634920635,0.0006417799957334149,,,,
phase5_patchtst,2,,,0.014653224498033524,0.01118470635265112,0.5,0.001297401380725205,1.0,1940.0,252.0,"[{'epoch': 3, 'train_loss': 0.9970297236596385, 'validation_loss': 3.797114282846451, 'train_rmse': 0.9985137573712435, 'validation_rmse': 1.9486185575546722}, {'epoch': 4, 'train_loss': 0.9829808089040941, 'validation_loss': 3.798557326197624, 'train_rmse': 0.9914538864234151, 'validation_rmse': 1.9489887958112084}, {'epoch': 5, 'train_loss': 0.9863247275352478, 'validation_loss': 3.8043330162763596, 'train_rmse': 0.9931388259126958, 'validation_rmse': 1.9504699475450422}]"
phase3_sarimax,3,"[0, 0, 0]","[0, 0, 0, 0]",0.015766404392064573,0.011878923022272557,0.47619047619047616,-0.0008983784791709214,,,,
phase5_patchtst,3,,,0.015687817707657814,0.011593228206038475,0.5396825396825397,-0.0014803896192461252,3.0,1940.0,252.0,"[{'epoch': 5, 'train_loss': 1.0005220617017438, 'validation_loss': 1.4734156429767609, 'train_rmse': 1.0002609967912095, 'validation_rmse': 1.2138433354336797}, {'epoch': 6, 'train_loss': 0.9951464822215419, 'validation_loss': 1.4730477035045624, 'train_rmse': 0.9975702893638834, 'validation_rmse': 1.2136917662671038}, {'epoch': 7, 'train_loss': 0.9805992111083, 'validation_loss': 1.4855073690414429, 'train_rmse': 0.99025209472553, 'validation_rmse': 1.2188139189562297}]"
phase3_sarimax,4,"[1, 0, 0]","[0, 0, 0, 0]",0.017444000305374293,0.013851677584526777,0.5,-0.00028882901098787114,,,,
phase5_patchtst,4,,,0.016947627067565918,0.013092679902911186,0.49603174603174605,-0.0006168707041069865,2.0,1940.0,252.0,"[{'epoch': 4, 'train_loss': 0.986303246790363, 'validation_loss': 1.5683202594518661, 'train_rmse': 0.9931280112807024, 'validation_rmse': 1.252325939782398}, {'epoch': 5, 'train_loss': 0.9910883961185333, 'validation_loss': 1.6253091618418694, 'train_rmse': 0.9955342264927577, 'validation_rmse': 1.2748761358821763}, {'epoch': 6, 'train_loss': 0.9806477475550867, 'validation_loss': 1.648666575551033, 'train_rmse': 0.990276601538725, 'validation_rmse': 1.2840041181986268}]"
phase3_sarimax,5,"[1, 0, 0]","[0, 0, 0, 0]",0.010404149966511105,0.00826235969441716,0.4365079365079365,0.00045748123959769366,,,,
phase5_patchtst,5,,,0.009897909127175808,0.0077140796929597855,0.5555555555555556,0.0006090464303269982,6.0,1940.0,252.0,"[{'epoch': 8, 'train_loss': 1.023621968684658, 'validation_loss': 1.5613466054201126, 'train_rmse': 1.0117420465141587, 'validation_rmse': 1.2495385569961868}, {'epoch': 9, 'train_loss': 0.998089752850994, 'validation_loss': 1.565149575471878, 'train_rmse': 0.9990444198587939, 'validation_rmse': 1.2510593812732784}, {'epoch': 10, 'train_loss': 1.0038357415506918, 'validation_loss': 1.5689520090818405, 'train_rmse': 1.0019160351799405, 'validation_rmse': 1.2525781449002855}]"
